Fair-Trade Score,Panel Test,PackagingDatumTijdEind,Gewichtscontrole,Roosterprofiel,Cyclustijd,GrindingApparaat,Opmerkingen,Batchnr,GrindingDatumTijdEind,GrindingID,LeverancierLevertijd,Koffieboon,Registratiedatum,Benuttingsgraad,Voorraadniveaus,FillingID,Duurzaamheid Score,GrindingDatumTijdStart,FillingApparaat,PackagingApparaat,Cost,FillingDatumTijdStart,PackagingDatumTijdStart,PackagingID,ProcessTime,Herkomst,Audit van Leverancier,CO2-Footprint,Klantretourpercentage,Risicokwalificatie,FillingDatumTijdEind,Klanttevredenheid,Leveranciersbeoordeling,Laatste Audit,Defectpercentage,Energieverbruik
49,Voldoet,2023-02-21 04:49:07.110348,0.91 kg,Medium,5.25 uur,Grinder 3,Uitstekende kwaliteit,7982,2023-02-21 02:14:28.153366,6507,23 dagen,Excelsa,2020-08-31,82.54%,500 units,2488,47,2023-02-21 01:59:11,Filling Machine 1,Packager 4,562.74 euros,2023-02-21 02:44:46.526872,2023-02-21 04:09:22.359166,3595,5.25 hours,Jemen,Afgekeurd,5.31 kg CO2/kg,1.09%,Kritiek,2023-02-21 03:05:54.130086,10,5.0,2021-05-29,2.21%,151.0 kWh
32,Voldoet niet,0000-00-00 00:00:00,0.77 kg,Medium,4.77 uur,Grinder 2,Geen,6041,2023-09-15 06:52:13.150558,7615,15 dagen,Robusta,2022-10-29,83.70%,200 units,2482,46,2023-09-15 06:43:48,Filling Machine 2,Packager 5,538.52 euros,2023-09-15 07:36:58.375182,2023-09-15 08:21:12.960231,8585,4.77 hours,Kenia,Herziening vereist,8.79 kg CO2/kg,0.93%,Hoog,2023-09-15 07:55:55.945258,6,6.0,2023-08-03,0.73%,268.0 kWh
30,Voldoet,2023-01-13 14:26:03.535929,1.00 kg,Medium-Donker,4.50 uur,Grinder 1,Geen,5920,2023-01-13 12:27:22.736320,6296,6 dagen,Robusta,2020-03-31,67.99%,500 units,2653,48,2023-01-13 12:00:57,Filling Machine 4,Packager 4,525.09 euros,2023-01-13 13:21:15.245382,2023-01-13 14:16:18.345344,8208,4.50 hours,Venezuela,Goedgekeurd,1.63 kg CO2/kg,0.22%,Hoog,2023-01-13 13:32:53.171874,8,6.0,2020-06-18,1.88%,436.0 kWh
70,Voldoet,2020-07-09 06:52:16.948152,1.00 kg,Medium-Donker,3.74 uur,Grinder 5,Geen,4754,2020-07-09 05:04:17.987542,1047,16 dagen,Arabica,2023-09-20,81.42%,300 units,757,54,2020-07-09 04:41:52,Filling Machine 2,Packager 4,486.96 euros,2020-07-09 05:26:45.549416,2020-07-09 06:03:03.932168,8450,3.74 hours,Dominicaanse Republiek,Herziening vereist,,1.08%,Matig,2020-07-09 05:39:41.596755,4,4.0,2024-07-30,1.86%,281.0 kWh
72,Voldoet niet,2022-04-15 20:52:18.524276,1.15 kg,Medium,4.03 uur,Grinder 1,Geen,1609,2022-04-15 18:24:51.570257,4761,15 dagen,Arabica,2020-12-19,79.80%,-999999,3677,44,2022-04-15 18:16:29,Filling Machine 2,Packager 1,501.68 euros,2022-04-15 18:48:23.445838,2022-04-15 20:25:14.023751,5442,4.03 hours,Colombia,Herziening vereist,4.82 kg CO2/kg,0.59%,Matig,2022-04-15 19:10:27.351786,2,3.0,2021-03-28,2.59%,999999 kWh
21,Voldoet,onbekend,0.91 kg,Licht,4.19 uur,Grinder 2,Geen,6221,2021-08-17 23:14:42.611078,3356,16 dagen,Liberica,2022-04-27,67.57%,200 units,8257,45,2021-08-17 22:42:30,Filling Machine 5,Packager 5,509.39 euros,2021-08-17 23:44:44.549794,2021-08-18 00:42:08.971408,3731,4.19 hours,Venezuela,Herziening vereist,6.82 kg CO2/kg,0.36%,Matig,2021-08-17 23:55:32.731309,5,1.0,2022-09-16,2.90%,254.0 kWh
38,Voldoet,2020-09-30 07:48:19.676121,0.79 kg,Licht,onbekend,Grinder 3,Geen,9031,2020-09-30 05:31:48.154554,1500,19 dagen,Arabica,2023-05-13,87.33%,1000000 units,2434,51,2020-09-30 05:19:22,Filling Machine 2,Packager 5,549.88 euros,2020-09-30 06:07:01.246005,2020-09-30 07:16:49.271914,9662,5.00 hours,Colombia,Afgekeurd,8.04 kg CO2/kg,1.29%,Zeer Hoog,2020-09-30 06:21:58.688984,3,3.0,2023-06-22,0.75%,204.0 kWh
57,Voldoet,2022-06-26 19:20:34.120277,1.05 kg,Medium,3.30 uur,Grinder 4,Geen,1010,2022-06-26 17:15:14.471475,5174,12 dagen,Robusta,2022-08-01,85.54%,400 units,2258,58,2022-06-26 16:54:40,Filling Machine 4,Packager 5,464.81 euros,2022-06-26 17:39:04.598729,2022-06-26 18:47:51.698320,4465,3.30 hours,Democratische Republiek Congo,Afgekeurd,4.82 kg CO2/kg,2.00%,Hoog,2022-06-26 17:50:27.690898,6,7.0,2023-01-23,2.61%,218.0 kWh
55,Voldoet,2020-10-23 00:24:33.732414,1.21 kg,Medium,9999 hours,Grinder 4,Geen,3362,2020-10-22 21:48:30.474929,1648,18 dagen,Arabica,2023-08-18,63.74%,500 units,5953,44,2020-10-22 21:27:10,Filling Machine 3,Packager 5,475.63 euros,2020-10-22 22:24:44.676599,2020-10-22 23:41:32.096836,6119,3.51 hours,Uganda,Goedgekeurd,5.14 kg CO2/kg,1.37%,Matig,2020-10-22 22:32:02.063572,4,2.0,2024-01-15,0.53%,142.0 kWh
27,Voldoet,2023-08-30 04:24:29.540734,0.73 kg,Medium-Donker,4.50 uur,Grinder 1,Geen,7033,2023-08-30 02:08:24.840273,7513,14 dagen,Robusta,2021-10-22,68.52%,100 units,4371,28,2023-08-30 01:46:13,Filling Machine 4,Packager 1,,31-02-2025 25:61:61,2023-08-30 04:01:34.278245,7563,4.50 hours,Ecuador,Goedgekeurd,3.09 kg CO2/kg,1.39%,Hoog,2023-08-30 02:54:30.967475,2,4.0,2022-08-20,2.03%,446.0 kWh
